dma,geoCode,2004+cancer,2004+cardiovascular,2004+stroke,2004+depression,2004+rehab,2004+vaccine,2004+diarrhea,2004+obesity,2004+diabetes,2006+cancer,2006+cardiovascular,2006+stroke,2006+depression,2006+rehab,2006+vaccine,2006+diarrhea,2006+obesity,2006+diabetes
Grand Rapids-Kalamazoo-Battle Creek MI,563,43,7,19,49,14,26,11,46,39,48,20,24,27,28,37,36,26,37
Charleston-Huntington WV,564,42,5,12,50,24,27,17,33,39,52,28,30,23,31,35,55,23,51
Elmira NY,565,41,0,28,27,15,29,25,85,40,42,20,17,17,16,76,40,29,39
Harrisburg-Lancaster-Lebanon-York PA,566,46,9,15,55,20,39,13,26,35,53,20,25,25,39,36,42,24,40
Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,42,6,16,40,17,23,14,26,37,49,20,21,21,31,36,47,21,38
Harrisonburg VA,569,41,3,17,62,19,24,16,44,51,55,24,33,32,50,48,32,44,40
Florence-Myrtle Beach SC,570,55,5,24,52,31,24,10,43,41,46,20,24,31,27,33,25,20,47
Ft. Myers-Naples FL,571,48,6,11,27,18,20,10,25,21,58,15,25,16,29,23,40,22,37
Roanoke-Lynchburg VA,573,42,7,16,51,16,26,9,35,28,46,19,23,26,32,40,58,33,37
Johnstown-Altoona PA,574,47,8,17,40,9,41,11,60,36,48,12,21,27,29,33,39,53,32
Chattanooga TN,575,43,3,16,41,11,26,23,36,39,48,17,23,23,33,38,40,23,44
Salisbury MD,576,38,12,14,40,13,27,47,27,52,49,19,24,21,48,18,61,28,39
Wilkes Barre-Scranton PA,577,48,7,18,60,23,49,12,41,31,53,20,23,27,36,47,39,39,37
Terre Haute IN,581,36,6,25,74,13,38,39,95,39,50,29,30,32,36,41,38,34,37
Lafayette IN,582,54,7,13,32,9,17,7,78,45,52,39,31,27,14,38,27,48,37
Alpena MI,583,69,0,100,97,0,0,0,0,100,82,0,100,100,0,0,0,0,100
Charlottesville VA,584,43,12,19,45,15,47,12,27,35,46,18,24,20,34,49,45,24,40
South Bend-Elkhart IN,588,43,2,14,41,12,14,14,28,36,52,9,25,24,25,42,50,29,32
Gainesville FL,592,45,11,22,36,25,53,15,35,51,55,30,33,23,47,53,50,39,43
Zanesville OH,596,31,0,14,39,43,0,54,0,23,55,0,23,26,24,25,94,24,33
Parkersburg WV,597,100,0,26,78,42,83,70,0,27,54,0,47,16,35,40,0,25,32
Clarksburg-Weston WV,598,47,0,14,40,18,21,24,46,36,52,15,14,28,29,53,25,30,41
Corpus Christi TX,600,37,7,17,37,18,32,11,32,43,42,18,25,17,26,20,31,27,55
Chicago IL,602,44,6,15,41,20,31,14,26,35,50,20,21,21,32,33,43,21,36
Joplin MO-Pittsburg KS,603,45,8,16,53,44,37,16,42,34,43,19,24,23,11,32,34,40,31
Columbia-Jefferson City MO,604,56,9,12,65,23,36,14,50,49,58,30,24,28,33,57,24,40,46
Topeka KS,605,40,5,15,39,13,37,19,33,34,46,24,25,18,22,44,41,29,37
Dothan AL,606,46,11,30,20,26,51,29,75,41,43,17,38,19,48,14,38,30,27
St. Louis MO,609,47,8,15,43,23,25,15,26,39,50,21,24,22,39,34,47,26,43
Rockford IL,610,52,10,20,53,13,55,10,31,42,44,22,27,19,39,27,13,34,43
Rochester MN-Mason City IA-Austin MN,611,71,18,26,64,16,33,25,40,58,77,53,38,35,27,74,68,41,55
Shreveport LA,612,42,9,22,45,28,18,17,33,40,43,28,27,22,33,25,44,27,39
Minneapolis-St. Paul MN,613,43,7,15,43,16,33,13,31,36,50,23,23,23,24,36,42,26,38
Kansas City MO,616,45,6,16,41,15,36,15,27,36,51,19,25,21,32,36,42,23,39
Milwaukee WI,617,42,7,17,48,15,40,12,27,39,49,21,24,23,23,40,44,24,39
Houston TX,618,47,8,16,33,18,29,12,24,37,54,23,23,18,26,36,40,19,38
Springfield MO,619,44,6,16,47,15,24,17,43,34,46,18,23,24,27,28,34,29,38
New Orleans LA,622,43,8,14,39,20,30,15,27,35,43,22,25,22,28,37,30,18,36
Dallas-Ft. Worth TX,623,38,7,16,35,19,27,12,22,35,44,20,22,19,36,32,40,19,39
Sioux City IA,624,43,5,13,48,21,34,16,17,28,52,33,22,32,37,57,53,28,40
Waco-Temple-Bryan TX,625,40,11,14,37,17,19,13,40,39,44,16,16,23,23,38,47,28,37
Victoria TX,626,64,0,35,100,0,0,0,0,35,52,0,15,44,44,0,70,0,63
